Name;Berging (m3);DWA(m3/h);Buffertijd(uur);Lediging
Helftheuvelweg;9140;677;13;dag
Oude engelenseweg;1000;582;2;nb
Maaspoort;7840;185;42;nacht
Rompert;10600;207;51;nacht
Acaciasingel;5300;112;48;nacht
Limietlaan;3400;122;30;nacht
Engelen;2714;65;42;nacht
Heineken;0;450;0;nb
Haarsteeg;2350;214;11;nb
Bokhoven;56;2,7;21;nb
Drunen;11138;366;30;nb
Elshout;1119;103;11;nb
Oudheusden;1434;112;13;nb
